rank,finalWorth,category,personName,age,country,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,date,birthYear,birthMonth,birthDay,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,total_tax_rate_country,population_country
20,57600,Fashion & Retail,Rob Walton & family,79,United States,Walmart,Fashion & Retail,United States,False,D,M,1944-10-27 00:00:00,4/4/2023 5:01,1944.0,10.0,27.0,-2147483648,89,102,37,328239523
21,56700,Fashion & Retail,Alice Walton,74,United States,Walmart,Fashion & Retail,United States,False,D,F,1949-10-07 00:00:00,4/4/2023 5:01,1949.0,10.0,7.0,-2147483648,89,102,37,328239523
22,54400,Media & Entertainment,David Thomson & family,66,Canada,Media,Media & Entertainment,Canada,False,U,M,1957-06-12 00:00:00,4/4/2023 5:01,1957.0,6.0,12.0,-2147483648,69,101,25,36991981
23,50100,Technology,Michael Dell,58,United States,Dell Technologies,Technology,United States,True,D,M,1965-02-23 00:00:00,4/4/2023 5:01,1965.0,2.0,23.0,-2147483648,89,102,37,328239523
24,47200,Diversified,Gautam Adani,61,India,"Infrastructure, commodities",Diversified,India,True,D,M,1962-06-24 00:00:00,4/4/2023 5:01,1962.0,6.0,24.0,-2147483648,29,113,50,1366417754
25,45100,Fashion & Retail,Phil Knight & family,85,United States,Nike,Fashion & Retail,United States,True,D,M,1938-02-24 00:00:00,4/4/2023 5:01,1938.0,2.0,24.0,-2147483648,89,102,37,328239523
26,45000,Technology,Zhang Yiming,39,China,TikTok,Technology,China,True,D,M,1984-01-01 00:00:00,4/4/2023 5:01,1984.0,1.0,1.0,-2147483648,51,101,60,1397715000
27,42900,Fashion & Retail,Dieter Schwarz,84,Germany,Retail,Fashion & Retail,Germany,False,D,M,1939-09-24 00:00:00,4/4/2023 5:01,1939.0,9.0,24.0,-2147483648,71,104,49,83132799
28,40100,Fashion & Retail,François Pinault & family,87,France,Luxury goods,Fashion & Retail,France,True,D,M,1936-08-21 00:00:00,4/4/2023 5:01,1936.0,8.0,21.0,-2147483648,66,103,61,67059887
29,39100,Logistics,Klaus-Michael Kuehne,86,Switzerland,Shipping,Logistics,Germany,False,U,M,1937-06-02 00:00:00,4/4/2023 5:01,1937.0,6.0,2.0,-2147483648,60,106,29,8574832
30,38900,Food & Beverage,Giovanni Ferrero,59,Belgium,"Nutella, chocolates",Food & Beverage,Italy,False,U,M,1964-09-21 00:00:00,4/4/2023 5:01,1964.0,9.0,21.0,-2147483648,80,104,56,11484055
31,38300,Food & Beverage,Jacqueline Mars,84,United States,"Candy, pet food",Food & Beverage,United States,False,U,F,1939-10-10 00:00:00,4/4/2023 5:01,1939.0,10.0,10.0,-2147483648,89,102,37,328239523
31,38300,Food & Beverage,John Mars,88,United States,"Candy, pet food",Food & Beverage,United States,False,U,M,1935-10-15 00:00:00,4/4/2023 5:01,1935.0,10.0,15.0,-2147483648,89,102,37,328239523
33,38000,Diversified,Li Ka-shing,95,Hong Kong,Diversified,Diversified,Hong Kong,True,U,M,1928-06-13 00:00:00,4/4/2023 5:01,1928.0,6.0,13.0,-2147483648,68,103,44,507454841
34,35300,Technology,Ma Huateng,52,China,Internet media,Technology,China,True,D,M,1971-10-29 00:00:00,4/4/2023 5:01,1971.0,10.0,29.0,-2147483648,51,101,60,1397715000
35,35000,Gambling & Casinos,Miriam Adelson & family,78,United States,Casinos,Gambling & Casinos,United States,False,U,F,1945-10-10 00:00:00,4/4/2023 5:01,1945.0,10.0,10.0,-2147483648,89,102,37,328239523
35,35000,Finance & Investments,Ken Griffin,55,United States,Hedge funds,Finance & Investments,United States,True,U,M,1968-10-15 00:00:00,4/4/2023 5:01,1968.0,10.0,15.0,-2147483648,89,102,37,328239523
37,34700,Food & Beverage,Mark Mateschitz,31,Austria,Red Bull,Food & Beverage,Austria,False,N,M,1992-05-07 00:00:00,4/4/2023 5:01,1992.0,5.0,7.0,-2147483648,86,104,52,8877067
38,33400,Automotive,Robin Zeng,54,China,Batteries,Automotive,Hong Kong,True,D,M,1969-01-01 00:00:00,4/4/2023 5:01,1969.0,1.0,1.0,-2147483648,51,101,60,1397715000
39,32600,Fashion & Retail,Tadashi Yanai & family,74,Japan,Fashion retail,Fashion & Retail,Japan,True,U,M,1949-02-07 00:00:00,4/4/2023 5:01,1949.0,2.0,7.0,-2147483648,64,99,47,126226568
40,32100,Diversified,Len Blavatnik,66,United Kingdom,"Music, chemicals",Diversified,United States,True,D,M,1957-06-01 00:00:00,4/4/2023 5:01,1957.0,6.0,1.0,-2147483648,60,102,31,66834405
41,31600,Fashion & Retail,Alain Wertheimer,75,United States,Chanel,Fashion & Retail,France,False,U,M,1948-08-28 00:00:00,4/4/2023 5:01,1948.0,8.0,28.0,-2147483648,89,102,37,328239523
41,31600,Fashion & Retail,Gerard Wertheimer,72,United States,Chanel,Fashion & Retail,France,False,U,M,1951-01-09 00:00:00,4/4/2023 5:01,1951.0,1.0,9.0,-2147483648,89,102,37,328239523
43,31200,Logistics,Gianluigi Aponte,83,Switzerland,Shipping,Logistics,Switzerland,True,Split Family Fortune,M,1940-06-27 00:00:00,4/4/2023 5:01,1940.0,6.0,27.0,-2147483648,60,106,29,8574832
43,31200,Logistics,Rafaela Aponte-Diamant,78,Switzerland,Shipping,Logistics,Switzerland,True,Split Family Fortune,F,1945-03-26 00:00:00,4/4/2023 5:01,1945.0,3.0,26.0,-2147483648,60,106,29,8574832
45,30200,Technology,Colin Zheng Huang,43,China,E-commerce,Technology,China,True,U,M,1980-02-02 00:00:00,4/4/2023 5:01,1980.0,2.0,2.0,-2147483648,51,101,60,1397715000
46,29700,Manufacturing,Reinhold Wuerth & family,88,Germany,Fasteners,Manufacturing,Germany,True,U,M,1935-04-20 00:00:00,4/4/2023 5:01,1935.0,4.0,20.0,-2147483648,71,104,49,83132799
47,29500,Real Estate,Lee Shau Kee,95,Hong Kong,Real estate,Real Estate,Hong Kong,True,D,M,1928-01-29 00:00:00,4/4/2023 5:01,1928.0,1.0,29.0,-2147483648,68,103,44,507454841
48,28500,Finance & Investments,Jeff Yass,65,United States,"Trading, investments",Finance & Investments,United States,True,U,M,1958-07-17 00:00:00,4/4/2023 5:01,1958.0,7.0,17.0,-2147483648,89,102,37,328239523
49,28100,Finance & Investments,Jim Simons,85,United States,Hedge funds,Finance & Investments,United States,True,D,M,1938-04-25 00:00:00,4/4/2023 5:01,1938.0,4.0,25.0,-2147483648,89,102,37,328239523
50,27800,Finance & Investments,Stephen Schwarzman,76,United States,Investments,Finance & Investments,United States,True,D,M,1947-02-14 00:00:00,4/4/2023 5:01,1947.0,2.0,14.0,-2147483648,89,102,37,328239523
51,27400,Automotive,Susanne Klatten,61,Germany,"BMW, pharmaceuticals",Automotive,Germany,False,U,F,1962-04-28 00:00:00,4/4/2023 5:01,1962.0,4.0,28.0,-2147483648,71,104,49,83132799
52,27000,Metals & Mining,Gina Rinehart,69,Australia,Mining,Metals & Mining,Australia,False,D,F,1954-02-09 00:00:00,4/4/2023 5:01,1954.0,2.0,9.0,-2147483648,114,101,48,25766605
53,26700,Technology,William Ding,52,China,Online games,Technology,China,True,U,M,1971-10-01 00:00:00,4/4/2023 5:01,1971.0,10.0,1.0,-2147483648,51,101,60,1397715000
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,70,Mexico,Mining,Metals & Mining,Mexico,False,D,M,1953-10-26 00:00:00,4/4/2023 5:01,1953.0,10.0,26.0,-2147483648,41,106,56,126014024
55,25600,Technology,Shiv Nadar,78,India,software services,Technology,India,True,D,M,1945-07-18 00:00:00,4/4/2023 5:01,1945.0,7.0,18.0,-2147483648,29,113,50,1366417754
56,25500,Energy,Low Tuck Kwong,75,Indonesia,Coal,Energy,Indonesia,True,U,M,1948-04-17 00:00:00,4/4/2023 5:01,1948.0,4.0,17.0,-2147483648,37,107,31,270203917
57,25300,Finance & Investments,Thomas Peterffy,79,United States,Discount brokerage,Finance & Investments,United States,True,U,M,1944-09-30 00:00:00,4/4/2023 5:01,1944.0,9.0,30.0,-2147483648,89,102,37,328239523
58,25200,Metals & Mining,Andrey Melnichenko & family,51,United Arab Emirates,"Fertilizers, coal",Metals & Mining,Russia,True,U,M,1972-03-08 00:00:00,4/4/2023 5:01,1972.0,3.0,8.0,-2147483648,37,109,16,9770529
59,24600,Automotive,Stefan Quandt,57,Germany,BMW,Automotive,Germany,False,U,M,1966-05-09 00:00:00,4/4/2023 5:01,1966.0,5.0,9.0,-2147483648,71,104,49,83132799
60,24400,Technology,MacKenzie Scott,53,United States,Amazon,Technology,United States,False,D,F,1970-04-07 00:00:00,4/4/2023 5:01,1970.0,4.0,7.0,-2147483648,89,102,37,328239523
61,24200,Finance & Investments,R. Budi Hartono,82,Indonesia,"Banking, tobacco",Finance & Investments,Indonesia,False,U,M,1941-01-01 00:00:00,4/4/2023 5:01,1941.0,1.0,1.0,-2147483648,37,107,31,270203917
62,23700,Metals & Mining,Vladimir Potanin,62,Russia,Metals,Metals & Mining,Russia,True,U,M,1961-01-03 00:00:00,4/4/2023 5:01,1961.0,1.0,3.0,-2147483648,82,103,47,144373535
63,23500,Technology,Jack Ma,59,China,E-commerce,Technology,China,True,U,M,1964-09-10 00:00:00,4/4/2023 5:01,1964.0,9.0,10.0,-2147483648,51,101,60,1397715000
64,23400,Manufacturing,He Xiangjian & family,81,China,Home appliances,Manufacturing,China,True,D,M,1942-08-11 00:00:00,4/4/2023 5:01,1942.0,8.0,11.0,-2147483648,51,101,60,1397715000
65,23100,Metals & Mining,Iris Fontbona & family,80,Chile,Mining,Metals & Mining,Chile,False,U,F,1943-01-01 00:00:00,4/4/2023 5:01,1943.0,1.0,1.0,-2147483648,89,102,34,18952038
65,23100,Manufacturing,Michael Hartono,84,Indonesia,"Banking, tobacco",Manufacturing,Indonesia,False,U,M,1939-10-02 00:00:00,4/4/2023 5:01,1939.0,10.0,2.0,-2147483648,37,107,31,270203917
67,22900,Manufacturing,James Ratcliffe,70,United Kingdom,Chemicals,Manufacturing,United Kingdom,True,U,M,1953-01-01 00:00:00,4/4/2023 5:01,1953.0,1.0,1.0,-2147483648,60,102,31,66834405
68,22600,Healthcare,Cyrus Poonawalla,82,India,Vaccines,Healthcare,India,False,D,M,1941-05-11 00:00:00,4/4/2023 5:01,1941.0,5.0,11.0,-2147483648,29,113,50,1366417754
69,22400,Telecom,Masayoshi Son,66,Japan,"Internet, telecom",Telecom,Japan,True,U,M,1957-08-11 00:00:00,4/4/2023 5:01,1957.0,8.0,11.0,-2147483648,64,99,47,126226568
70,22100,Metals & Mining,Vladimir Lisin,67,Russia,"Steel, transport",Metals & Mining,Russia,True,U,M,1956-05-07 00:00:00,4/4/2023 5:01,1956.0,5.0,7.0,-2147483648,82,103,47,144373535
71,22000,Food & Beverage,Emmanuel Besnier,53,France,Cheese,Food & Beverage,France,False,D,M,1970-09-18 00:00:00,4/4/2023 5:01,1970.0,9.0,18.0,-2147483648,66,103,61,67059887
72,21600,Finance & Investments,Abigail Johnson,62,United States,Fidelity,Finance & Investments,United States,False,U,F,1961-12-19 00:00:00,4/4/2023 5:01,1961.0,12.0,19.0,-2147483648,89,102,37,328239523
72,21600,Energy,Leonid Mikhelson & family,68,Russia,"Gas, chemicals",Energy,Russia,True,U,M,1955-08-11 00:00:00,4/4/2023 5:01,1955.0,8.0,11.0,-2147483648,82,103,47,144373535
74,21200,Fashion & Retail,Lukas Walton,37,United States,Walmart,Fashion & Retail,United States,False,U,M,1986-09-19 00:00:00,4/4/2023 5:01,1986.0,9.0,19.0,-2147483648,89,102,37,328239523
74,21200,Service,Wang Wei,53,China,Package delivery,Service,China,True,D,M,1970-10-01 00:00:00,4/4/2023 5:01,1970.0,10.0,1.0,-2147483648,51,101,60,1397715000
76,21100,Technology,Jensen Huang,60,United States,Semiconductors,Technology,United States,True,U,M,1963-02-17 00:00:00,4/4/2023 5:01,1963.0,2.0,17.0,-2147483648,89,102,37,328239523
77,21000,Fashion & Retail,Leonard Lauder,90,United States,Estee Lauder,Fashion & Retail,United States,False,D,M,1933-03-19 00:00:00,4/4/2023 5:01,1933.0,3.0,19.0,-2147483648,89,102,37,328239523
77,21000,Manufacturing,Takemitsu Takizaki,78,Japan,Sensors,Manufacturing,Japan,True,D,M,1945-06-10 00:00:00,4/4/2023 5:01,1945.0,6.0,10.0,-2147483648,64,99,47,126226568
79,20900,Metals & Mining,Alexey Mordashov & family,58,Russia,"Steel, investments",Metals & Mining,Russia,True,U,M,1965-09-26 00:00:00,4/4/2023 5:01,1965.0,9.0,26.0,-2147483648,82,103,47,144373535
80,20500,Energy,Vagit Alekperov,73,Russia,Oil,Energy,Russia,True,U,M,1950-09-01 00:00:00,4/4/2023 5:01,1950.0,9.0,1.0,-2147483648,82,103,47,144373535
81,20200,Healthcare,"Thomas Frist, Jr. & family",85,United States,Hospitals,Healthcare,United States,True,D,M,1938-08-12 00:00:00,4/4/2023 5:01,1938.0,8.0,12.0,-2147483648,89,102,37,328239523
82,19600,Metals & Mining,Andrew Forrest,62,Australia,Mining,Metals & Mining,Australia,True,U,M,1961-11-18 00:00:00,4/4/2023 5:01,1961.0,11.0,18.0,-2147483648,114,101,48,25766605
83,19100,Finance & Investments,Ray Dalio,74,United States,Hedge funds,Finance & Investments,United States,True,D,M,1949-08-08 00:00:00,4/4/2023 5:01,1949.0,8.0,8.0,-2147483648,89,102,37,328239523
84,19000,Automotive,Eric Li,60,China,Automobiles,Automotive,China,True,D,M,1963-06-01 00:00:00,4/4/2023 5:01,1963.0,6.0,1.0,-2147483648,51,101,60,1397715000
84,19000,Metals & Mining,Wang Wenyin,55,China,"Mining, copper products",Metals & Mining,China,True,U,M,1968-03-01 00:00:00,4/4/2023 5:01,1968.0,3.0,1.0,-2147483648,51,101,60,1397715000
86,18900,Diversified,Eyal Ofer,73,Monaco,"Real estate, shipping",Diversified,Israel,False,U,M,1950-06-02 00:00:00,4/4/2023 5:01,1950.0,6.0,2.0,-2147483648,68,103,44,38964
86,18900,Food & Beverage,Qin Yinglin,58,China,Pig breeding,Food & Beverage,China,True,D,M,1965-04-17 00:00:00,4/4/2023 5:01,1965.0,4.0,17.0,-2147483648,51,101,60,1397715000
88,18700,Automotive,Wang Chuanfu,57,China,"Batteries, automobiles",Automotive,China,True,D,M,1966-02-15 00:00:00,4/4/2023 5:01,1966.0,2.0,15.0,-2147483648,51,101,60,1397715000
89,18500,Energy,Harold Hamm & family,78,United States,Oil & gas,Energy,United States,True,U,M,1945-12-11 00:00:00,4/4/2023 5:01,1945.0,12.0,11.0,-2147483648,89,102,37,328239523
89,18500,Finance & Investments,David Tepper,66,United States,Hedge funds,Finance & Investments,United States,True,U,M,1957-09-11 00:00:00,4/4/2023 5:01,1957.0,9.0,11.0,-2147483648,89,102,37,328239523
89,18500,Energy,Gennady Timchenko,71,Russia,"Oil, gas",Energy,Russia,True,U,M,1952-11-09 00:00:00,4/4/2023 5:01,1952.0,11.0,9.0,-2147483648,82,103,47,144373535
92,18000,Finance & Investments,Daniel Gilbert,61,United States,Quicken Loans,Finance & Investments,United States,True,D,M,1962-01-17 00:00:00,4/4/2023 5:01,1962.0,1.0,17.0,-2147483648,89,102,37,328239523
93,17700,Metals & Mining,Lakshmi Mittal,73,United Kingdom,Steel,Metals & Mining,India,False,D,M,1950-06-15 00:00:00,4/4/2023 5:01,1950.0,6.0,15.0,-2147483648,60,102,31,66834405
94,17500,Finance & Investments,Steve Cohen,67,United States,Hedge funds,Finance & Investments,United States,True,U,M,1956-06-11 00:00:00,4/4/2023 5:01,1956.0,6.0,11.0,-2147483648,89,102,37,328239523
94,17500,Finance & Investments,Carl Icahn,87,United States,Investments,Finance & Investments,United States,True,U,M,1936-02-16 00:00:00,4/4/2023 5:01,1936.0,2.0,16.0,-2147483648,89,102,37,328239523
94,17500,Metals & Mining,Savitri Jindal & family,73,India,Steel,Metals & Mining,India,False,D,F,1950-03-20 00:00:00,4/4/2023 5:01,1950.0,3.0,20.0,-2147483648,29,113,50,1366417754
97,17400,Real Estate,Donald Bren,91,United States,Real estate,Real Estate,United States,True,U,M,1932-05-11 00:00:00,4/4/2023 5:01,1932.0,5.0,11.0,-2147483648,89,102,37,328239523
97,17400,Fashion & Retail,"John Menard, Jr.",83,United States,Home improvement stores,Fashion & Retail,United States,True,U,M,1940-01-22 00:00:00,4/4/2023 5:01,1940.0,1.0,22.0,-2147483648,89,102,37,328239523
99,17100,Media & Entertainment,Rupert Murdoch & family,92,United States,"Newspapers, TV network",Media & Entertainment,United States,False,D,M,1931-03-11 00:00:00,4/4/2023 5:01,1931.0,3.0,11.0,-2147483648,89,102,37,328239523
100,16700,Finance & Investments,Vicky Safra & family,70,Switzerland,Banking,Finance & Investments,Brazil,False,U,F,1953-01-01 00:00:00,4/4/2023 5:01,1953.0,1.0,1.0,-2147483648,60,106,29,8574832
101,16500,Fashion & Retail,"Theo Albrecht, Jr. & family",72,Germany,"Aldi, Trader Joe's",Fashion & Retail,Germany,False,D,M,1951-01-01 00:00:00,4/4/2023 5:01,1951.0,1.0,1.0,-2147483648,71,104,49,83132799
101,16500,Finance & Investments,Renata Kellnerova & family,56,Czech Republic,"Finance, telecommunications",Finance & Investments,Czech Republic,False,D,F,1967-07-04 00:00:00,4/4/2023 5:01,1967.0,7.0,4.0,-2147483648,65,101,47,10669709
103,16300,Healthcare,Li Xiting,72,China,medical devices,Healthcare,Singapore,True,D,M,1951-01-01 00:00:00,4/4/2023 5:01,1951.0,1.0,1.0,-2147483648,51,101,60,1397715000
104,16200,Fashion & Retail,Stefan Persson,76,Sweden,H&M,Fashion & Retail,Sweden,False,D,M,1947-10-04 00:00:00,4/4/2023 5:01,1947.0,10.0,4.0,-2147483648,67,127,50,10285453
104,16200,Technology,Eric Schmidt,68,United States,Google,Technology,United States,True,D,M,1955-04-27 00:00:00,4/4/2023 5:01,1955.0,4.0,27.0,-2147483648,89,102,37,328239523
106,16000,Finance & Investments,Michael Platt,55,Switzerland,Hedge funds,Finance & Investments,United Kingdom,True,U,M,1968-03-18 00:00:00,4/4/2023 5:01,1968.0,3.0,18.0,-2147483648,60,106,29,8574832
107,15900,Food & Beverage,Pang Kang,67,China,Soy sauce,Food & Beverage,China,True,D,M,1956-01-19 00:00:00,4/4/2023 5:01,1956.0,1.0,19.0,-2147483648,51,101,60,1397715000
108,15800,Fashion & Retail,Karl Albrecht Jr. & family,61,Germany,Supermarkets,Fashion & Retail,Germany,False,Split Family Fortune,M,1962-01-01 00:00:00,4/4/2023 5:01,1962.0,1.0,1.0,-2147483648,71,104,49,83132799
108,15800,Fashion & Retail,Beate Heister,61,United States,Supermarkets,Fashion & Retail,Germany,False,Split Family Fortune,F,1962-01-01 00:00:00,4/4/2023 5:01,1962.0,1.0,1.0,-2147483648,89,102,37,328239523
108,15800,Food & Beverage,Jorge Paulo Lemann & family,84,Switzerland,Beer,Food & Beverage,Brazil,True,U,M,1939-08-26 00:00:00,4/4/2023 5:01,1939.0,8.0,26.0,-2147483648,60,106,29,8574832
108,15800,Real Estate,Peter Woo,77,Hong Kong,Real estate,Real Estate,Hong Kong,False,D,M,1946-09-05 00:00:00,4/4/2023 5:01,1946.0,9.0,5.0,-2147483648,68,103,44,507454841
112,15600,Healthcare,Dilip Shanghvi,68,India,Pharmaceuticals,Healthcare,India,True,E,M,1955-10-01 00:00:00,4/4/2023 5:01,1955.0,10.0,1.0,-2147483648,29,113,50,1366417754
113,15500,Technology,Robert Pera,45,United States,Wireless networking,Technology,United States,True,U,M,1978-03-10 00:00:00,4/4/2023 5:01,1978.0,3.0,10.0,-2147483648,89,102,37,328239523
114,15300,Fashion & Retail,Radhakishan Damani,68,India,"Retail, investments",Fashion & Retail,India,True,D,M,1955-01-01 00:00:00,4/4/2023 5:01,1955.0,1.0,1.0,-2147483648,29,113,50,1366417754
115,15200,Automotive,Huang Shilin,56,China,Batteries,Automotive,China,True,D,M,1967-01-01 00:00:00,4/4/2023 5:01,1967.0,1.0,1.0,-2147483648,51,101,60,1397715000
116,14900,Diversified,Dhanin Chearavanont,84,Thailand,Diversified,Diversified,Thailand,False,U,M,1939-04-19 00:00:00,4/4/2023 5:01,1939.0,4.0,19.0,-2147483648,50,100,30,69625582
116,14900,Fashion & Retail,David Green & family,82,United States,Retail,Fashion & Retail,United States,True,U,M,1941-11-13 00:00:00,4/4/2023 5:01,1941.0,11.0,13.0,-2147483648,89,102,37,328239523
118,14800,Food & Beverage,Charoen Sirivadhanabhakdi,79,Thailand,"Alcohol, real estate",Food & Beverage,Thailand,True,U,M,1944-05-02 00:00:00,4/4/2023 5:01,1944.0,5.0,2.0,-2147483648,50,100,30,69625582
119,14700,Food & Beverage,Charlene de Carvalho-Heineken & family,69,United Kingdom,Heineken,Food & Beverage,Netherlands,False,D,F,1954-06-30 00:00:00,4/4/2023 5:01,1954.0,6.0,30.0,-2147483648,60,102,31,66834405
120,14600,Healthcare,Xu Hang,61,China,Medical devices,Healthcare,Hong Kong,True,D,M,1962-05-22 00:00:00,4/4/2023 5:01,1962.0,5.0,22.0,-2147483648,51,101,60,1397715000
121,14500,Automotive,Wei Jianjun & family,59,China,Automobiles,Automotive,China,True,D,M,1964-03-01 00:00:00,4/4/2023 5:01,1964.0,3.0,1.0,-2147483648,51,101,60,1397715000
122,14400,Metals & Mining,Alisher Usmanov,70,Uzbekistan,"Steel, telecom, investments",Metals & Mining,Russia,True,U,M,1953-09-09 00:00:00,4/4/2023 5:01,1953.0,9.0,9.0,-2147483648,11,105,32,33580650
123,14300,Manufacturing,Goh Cheng Liang,96,Singapore,Paints,Manufacturing,Singapore,True,U,M,1927-06-27 00:00:00,4/4/2023 5:01,1927.0,6.0,27.0,-2147483648,85,101,21,5703569
124,14200,Diversified,Kumar Birla,56,India,Commodities,Diversified,India,False,D,M,1967-06-14 00:00:00,4/4/2023 5:01,1967.0,6.0,14.0,-2147483648,29,113,50,1366417754
124,14200,Manufacturing,Aliko Dangote,66,Nigeria,"Cement, sugar",Manufacturing,Nigeria,True,U,M,1957-04-10 00:00:00,4/4/2023 5:01,1957.0,4.0,10.0,-2147483648,11,85,35,200963599
126,14100,Real Estate,Kwong Siu-hing,94,Hong Kong,Real estate,Real Estate,Hong Kong,False,U,F,1929-12-02 00:00:00,4/4/2023 5:01,1929.0,12.0,2.0,-2147483648,68,103,44,507454841
127,14000,Diversified,Idan Ofer,68,United Kingdom,Shipping,Diversified,Israel,False,U,M,1955-10-02 00:00:00,4/4/2023 5:01,1955.0,10.0,2.0,-2147483648,60,102,31,66834405
128,13900,Healthcare,Chen Bang,58,China,Hospitals,Healthcare,China,True,U,M,1965-09-01 00:00:00,4/4/2023 5:01,1965.0,9.0,1.0,-2147483648,51,101,60,1397715000
128,13900,Gambling & Casinos,Lui Che Woo,94,Hong Kong,Casinos/hotels,Gambling & Casinos,Hong Kong,True,U,M,1929-04-01 00:00:00,4/4/2023 5:01,1929.0,4.0,1.0,-2147483648,68,103,44,507454841
130,13700,Logistics,John Fredriksen,78,United Kingdom,Shipping,Logistics,Cyprus,True,U,M,1945-02-01 00:00:00,4/4/2023 5:01,1945.0,2.0,1.0,-2147483648,60,102,31,66834405
130,13700,Construction & Engineering,Diane Hendricks,76,United States,Building supplies,Construction & Engineering,United States,True,U,F,1947-03-02 00:00:00,4/4/2023 5:01,1947.0,3.0,2.0,-2147483648,89,102,37,328239523
130,13700,Technology,Jan Koum,47,United States,WhatsApp,Technology,United States,True,U,M,1976-02-24 00:00:00,4/4/2023 5:01,1976.0,2.0,24.0,-2147483648,89,102,37,328239523
133,13300,Sports,Jerry Jones,81,United States,Dallas Cowboys,Sports,United States,True,U,M,1942-10-13 00:00:00,4/4/2023 5:01,1942.0,10.0,13.0,-2147483648,89,102,37,328239523
